sensor_id,site,district,pollutant,model,n_coloc_hours,insample_R2,expected_field_R2,b_intercept,b_pm25_raw,b_pm1_raw,b_pm10_raw,b_o3_ppm,b_met_rh,b_met_temp,input_units,output_units,formula,notes
MOD-00547,Sunnyside High School,Sunnyside,PM2.5,SIZEBINS OLS (per-sensor),3851,0.72,0.66,5.9012,2.374,-1.7041,-0.0389,,-0.0333,-0.1345,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00548,Los Ninos Elementary School,Sunnyside,PM2.5,SIZEBINS OLS (per-sensor),3827,0.632,0.66,5.9435,2.0983,-1.7854,-0.0286,,-0.0102,-0.1223,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00549,Roadrunner Elementary School,Marana,PM2.5,SIZEBINS OLS (per-sensor),3199,0.289,0.66,11.3767,1.4562,-1.1909,-0.0281,,-0.0594,-0.2247,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,"WEAK FIT (R2=0.29, noisy unit) - prefer network-pool fallback row"
MOD-00550,Agua Caliente Elementary School,Tanque Verde,PM2.5,SIZEBINS OLS (per-sensor),3641,0.719,0.66,5.9463,2.0017,-1.3692,-0.0259,,-0.0286,-0.1323,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00551,Desert View High School,Sunnyside,PM2.5,SIZEBINS OLS (per-sensor),3795,0.72,0.66,6.3667,2.3584,-1.7062,-0.0411,,-0.0359,-0.1453,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00552,Children's Park (Reference),Other,PM2.5,SIZEBINS OLS (per-sensor),13876,0.676,0.66,1.4877,2.2782,-1.6005,-0.0273,,0.0064,-0.0356,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00553,Vesey Elementary School,Tucson,PM2.5,SIZEBINS OLS (per-sensor),8147,0.689,0.66,3.2294,2.4264,-1.7722,-0.0212,,-0.008,-0.0844,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00554,Billy Lane Lauffer Middle School,Sunnyside,PM2.5,SIZEBINS OLS (per-sensor),4000,0.714,0.66,6.2876,2.0175,-1.3946,-0.035,,-0.0273,-0.1484,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00555,Joel D. Valdez Library,Other,PM2.5,SIZEBINS OLS (per-sensor),3719,0.71,0.66,6.1026,2.4962,-1.7969,-0.0585,,-0.0291,-0.1295,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00556,Mission View Elementary School,Tucson,PM2.5,SIZEBINS OLS (per-sensor),5822,0.717,0.66,1.975,2.0627,-1.3692,-0.0119,,-0.0081,-0.0674,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00557,Ajo High School,Ajo,PM2.5,SIZEBINS OLS (per-sensor),7591,0.732,0.66,0.3152,1.8712,-1.2486,-0.0073,,0,-0.0295,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00558,Marana High School,Marana,PM2.5,SIZEBINS OLS (per-sensor),3540,0.701,0.66,1.7669,2.425,-1.8906,-0.0147,,-0.0175,-0.0367,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00560,Marana Early Learning and Resource Center,Marana,PM2.5,SIZEBINS OLS (per-sensor),3605,0.694,0.66,3.2809,1.8818,-1.2328,-0.0385,,-0.0191,-0.0723,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00561,Secrist Middle School,Tucson,PM2.5,SIZEBINS OLS (per-sensor),4773,0.65,0.66,2.3628,2.0852,-1.5818,-0.0143,,-0.017,-0.0651,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00562,Rincon/University High School,Tucson,PM2.5,SIZEBINS OLS (per-sensor),5613,0.714,0.66,2.2349,1.5581,-0.7804,-0.0045,,-0.0105,-0.0761,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00563,Vail Academy and High School,Vail,PM2.5,SIZEBINS OLS (per-sensor),3816,0.708,0.66,2.1807,1.7557,-0.9472,-0.0092,,-0.0169,-0.0567,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00564,Flowing Wells High School,Flowing Wells,PM2.5,SIZEBINS OLS (per-sensor),2981,0.728,0.66,2.4148,1.3741,-0.6092,0.0034,,-0.0175,-0.0515,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
MOD-00565,Ocotillo Ridge Elementary School,Vail,PM2.5,SIZEBINS OLS (per-sensor),3690,0.713,0.66,2.0935,1.358,-0.6008,0.0129,,-0.0121,-0.0538,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,""
NETWORK_POOL,(all sensors pooled),"",PM2.5,SIZEBINS OLS (pooled fallback),,,0.66,4.97,2.1,-1.43,-0.027,,-0.013,-0.082,pm channels=ug/m3; met_rh=%; met_temp=degC,ug/m3,pm25_cal = b_intercept + b_pm25_raw*pm25_raw + b_pm1_raw*pm1_raw + b_pm10_raw*pm10_raw + b_met_rh*met_rh + b_met_temp*met_temp,Use for MOD-00549 or any sensor with <500 coloc hours
