sn,hour_utc,n_obs,ws_mean,u_mean,v_mean
MOD-00546,2026-08-10 00:00:00,60,3.446333333333333,2.210194084903374,0.8018350180089301
MOD-00546,2026-08-10 01:00:00,60,5.118833333333333,3.5499558036174497,3.466330643392017
MOD-00546,2026-08-10 02:00:00,60,3.4495000000000005,1.9083543053533332,2.5177951594136405
MOD-00546,2026-08-10 03:00:00,60,2.8280000000000007,2.409873069536844,-0.8656229710339598
MOD-00546,2026-08-10 04:00:00,60,3.4395000000000002,2.5303039057307055,-0.682940680856761
MOD-00546,2026-08-10 05:00:00,56,1.641785714285715,0.13456025736999064,-0.4527874618486347
MOD-00546,2026-08-10 06:00:00,60,0.8769999999999997,0.19770871110283125,0.45860565766535283
MOD-00546,2026-08-10 07:00:00,60,1.1351666666666664,-0.38229445440042814,-0.867027456095422
MOD-00546,2026-08-10 08:00:00,60,0.7291666666666665,0.2741843173010368,0.19793399569913916
MOD-00546,2026-08-10 09:00:00,60,0.5586666666666663,0.00987298657631445,0.4366746282636532
MOD-00546,2026-08-10 10:00:00,60,0.8986666666666671,0.05607486213597642,0.7577845102718034
MOD-00546,2026-08-10 11:00:00,60,1.3515000000000006,0.21793794670048505,1.1628743815016438
MOD-00546,2026-08-10 12:00:00,60,1.4360000000000002,0.4882065704357835,1.3052652773775435
MOD-00546,2026-08-10 13:00:00,60,0.9846666666666668,-0.0933659143023526,0.6791756114916965
MOD-00546,2026-08-10 14:00:00,60,1.7573333333333336,-0.09363275571875125,1.124849416415722
MOD-00546,2026-08-10 15:00:00,60,3.8276666666666666,1.7991368945386708,3.2974675287797193
MOD-00546,2026-08-10 16:00:00,60,3.6706666666666674,2.3239538568972433,2.56655739124719
MOD-00546,2026-08-10 17:00:00,60,2.487999999999999,0.5636588340384254,1.7921469924351832
MOD-00546,2026-08-10 18:00:00,60,3.4423333333333352,1.349832920889913,-1.0938381094633758
MOD-00546,2026-08-10 19:00:00,59,3.75915254237288,2.7021943704301137,-0.6719395966848053
MOD-00546,2026-08-10 20:00:00,60,3.5499999999999994,1.1960830740813342,-1.1036932315492194
MOD-00546,2026-08-10 21:00:00,60,5.0571666666666655,3.5046031285140935,-2.182689234717761
MOD-00546,2026-08-10 22:00:00,60,4.2056666666666676,3.35037259205622,-0.581776841459718
MOD-00546,2026-08-10 23:00:00,60,4.572500000000002,1.8985058606307506,3.716052883329354
MOD-00546,2026-08-11 00:00:00,60,4.303166666666667,2.8801311259792763,2.4721343792140558
MOD-00546,2026-08-11 01:00:00,60,4.385333333333333,1.8654003827799321,3.780171698560481
MOD-00546,2026-08-11 02:00:00,60,6.820666666666669,0.036692566133859725,-0.277876285575494
MOD-00546,2026-08-11 03:00:00,60,4.505666666666666,3.7562490025949318,1.95309981738896
MOD-00546,2026-08-11 04:00:00,60,1.0236666666666667,-0.30066938319624514,-0.35743860565905716
MOD-00546,2026-08-11 05:00:00,60,1.171166666666667,-0.4043277360247512,-0.5026653270693963
MOD-00546,2026-08-11 06:00:00,60,1.2588333333333337,0.26682435534868654,-0.7814722130400095
MOD-00546,2026-08-11 07:00:00,60,0.8388333333333331,0.18497206628992213,0.64350487804387
MOD-00546,2026-08-11 08:00:00,60,0.9346666666666668,0.31772429244736894,0.7400839521258552
MOD-00546,2026-08-11 09:00:00,60,4.271833333333333,3.1930543375243916,2.6052585519169607
MOD-00546,2026-08-11 10:00:00,60,4.726833333333333,3.1460768624419324,3.362418167770858
MOD-00546,2026-08-11 11:00:00,60,3.1001666666666665,1.825333787082246,2.231055417267952
MOD-00546,2026-08-11 12:00:00,60,1.7519999999999998,0.6515111573134882,1.2730204319094938
MOD-00546,2026-08-11 13:00:00,60,1.3193333333333344,-0.8001467999076917,0.508601609725939
MOD-00546,2026-08-11 14:00:00,60,1.3969999999999998,-1.2518852170596715,0.18731269236444012
MOD-00546,2026-08-11 15:00:00,60,1.939,-1.4462359122328396,-1.063256398539167
MOD-00546,2026-08-11 16:00:00,60,4.916333333333332,-2.8150451461548784,-3.8440967287705177
MOD-00546,2026-08-11 17:00:00,60,3.5985000000000005,1.5004986532842663,-1.9978024236873109
MOD-00546,2026-08-11 18:00:00,60,5.024666666666667,4.0019192009342515,-2.389192201250517
